timestamp,global_score,phone_conf,phone_detected,drowsy_conf,yawn,event
2026-04-11T15:59:20.852329,53,0.532,1,0.028,0,VOICE_ALERT
2026-04-11T15:59:28.173963,53,0.531,1,0.528,0,VOICE_ALERT
2026-04-11T15:59:33.233497,89,0.895,1,0.575,0,VOICE_ALERT
2026-04-11T15:59:39.902663,53,0.537,1,0.024,0,VOICE_ALERT
2026-04-11T15:59:45.585281,53,0.535,1,0.086,0,VOICE_ALERT
2026-04-11T15:59:50.599732,66,0.669,1,0.376,0,VOICE_ALERT
2026-04-11T15:59:56.723969,87,0.871,1,0.238,0,VOICE_ALERT
2026-04-11T16:00:01.831987,79,0.793,1,0.423,0,VOICE_ALERT
2026-04-11T16:00:06.954863,86,0.863,1,0.262,0,VOICE_ALERT
2026-04-11T16:00:12.130665,85,0.859,1,0.321,0,VOICE_ALERT
2026-04-11T16:01:46.805849,70,0.705,1,0.071,0,VOICE_ALERT
2026-04-11T16:01:52.213199,54,0.544,1,0.486,0,VOICE_ALERT
